Customer_ID,Age,Income,Income_Copy,City,Join_Date,Purchased,Region,Purchased_Copy
CUST-0001,56,1000000.0,1020000.0,Delhi,2022-01-01,1,West,1
CUST-0002,69,1500000.0,1530000.0,Mumbai,2022-01-02,1,West,1
CUST-0003,46,40411.524096566565,41219.754578497894,Bangalore,2022-01-03,1,West,1
CUST-0004,32,47301.523601871755,48247.55407390919,Pune,2022-01-04,0,West,0
CUST-0005,60,27201.89327660257,27745.93114213462,,2022-01-05,0,West,0
CUST-0006,25,14233.064613703174,14517.725905977239,Pune,2022-01-06,0,West,0
CUST-0007,38,22000.70646615562,22440.720595478735,Delhi,2022-01-07,0,West,0
CUST-0008,56,70909.09238783566,72327.27423559237,Pune,2022-01-08,1,West,1
CUST-0009,36,724.9039860402138,739.4020657610181,Delhi,2022-01-09,0,West,0
CUST-0010,40,6169.019611998802,6292.400004238779,Bangalore,2022-01-10,0,West,0
CUST-0011,28,,,Delhi,2022-01-11,0,West,0
CUST-0012,28,2079.0725958646212,2120.6540477819135,Bangalore,2022-01-12,0,West,0
CUST-0013,41,96710.15168078293,98644.35471439859,Mumbai,2022-01-13,1,West,1
CUST-0014,53,60812.030585034416,62028.271196735106,Mumbai,2022-01-14,1,West,1
CUST-0015,57,32139.22972064462,32782.01431505751,Mumbai,2022-01-15,0,West,0
CUST-0016,41,5147.845922390663,5250.802840838476,Delhi,2022-01-16,0,West,0
CUST-0017,20,33825.89828986166,34502.41625565889,Mumbai,2022-01-17,0,West,0
CUST-0018,39,32072.51660471856,32713.966936812933,Pune,2022-01-18,0,West,0
CUST-0019,19,,,Bangalore,2022-01-19,0,West,0
CUST-0020,41,28444.95656511619,29013.855696418515,Bangalore,2022-01-20,0,West,0
CUST-0021,61,25416.830729160345,25925.167343743553,Pune,2022-01-21,0,West,0
CUST-0022,47,47836.12164565673,48792.84407856986,Delhi,2022-01-22,1,West,1
CUST-0023,55,50405.7268020456,51413.84133808652,Delhi,2022-01-23,1,West,1
CUST-0024,19,2318.1162010267367,2364.4785250472714,Bangalore,2022-01-24,0,West,0
CUST-0025,38,23469.200232753075,23938.584237408137,Mumbai,2022-01-25,0,West,0
CUST-0026,50,49156.24973913642,50139.374733919154,Delhi,2022-01-26,1,West,1
CUST-0027,29,34971.972630389486,35671.412082997274,,2022-01-27,0,West,0
CUST-0028,39,97067.47265877193,99008.82211194737,Pune,2022-01-28,0,West,0
CUST-0029,61,53748.73820274989,54823.71296680489,Pune,2022-01-29,1,West,1
CUST-0030,42,8892.643438365367,9070.496307132675,Mumbai,2022-01-30,0,West,0
CUST-0031,66,3659.1218128120418,3732.304249068283,Delhi,2022-01-31,0,West,0
