measurement_a,measurement_b,class
59.992204579761896,27.327669070485502,1
56.99575561861724,26.926626557383003,0
62.65989895863418,22.583977734468466,1
69.58335128020639,24.76505646275827,1
46.83795166038752,32.18395608485972,0
59.28056724677438,25.670762323085278,1
43.959494339800045,32.68527571322673,0
73.21442832292631,26.85100112541865,1
68.34180619677691,25.678055891610178,1
42.97790297691536,33.13672297058966,0
48.13394160698533,27.474549121442724,1
56.65556623516675,48.006182738271335,0
40.87251762693004,49.825914113915786,0
75.12886113577208,20.487964336152157,1
67.4954459136536,22.64335257967273,1
36.0457392295239,37.23087558588755,0
75.60819320851088,33.265175556890505,1
70.80100758332983,29.64369898020285,1
52.262766757749176,39.447339016370336,0
40.29995201810011,32.548710559128736,0
59.73579866539968,27.567530938831098,1
73.36911832972237,28.424131540461197,1
64.22158460315607,19.887977036914677,1
55.659814327509345,38.88070794998709,0
78.00146045682303,32.57844332813311,1
53.127460666138404,39.323072976365886,1
29.738759243988927,33.514360969675984,0
71.29556959144783,31.849209823650284,1
70.92756367019078,36.98630694816646,1
59.00030117336411,26.447038373849626,1
56.9894047071402,39.4943591298912,0
45.63199290075452,31.976405021858426,0
76.88381491182218,29.765474236517036,1
43.999041297078065,33.92419584683601,0
67.28625872637538,37.23505704349928,0
63.97019947168788,36.99918234825948,0
45.17416481189974,40.60602792714864,0
54.63989964473643,23.327636166247203,1
58.77645897358513,24.851426436776052,1
61.67689914447117,28.23572905349913,1
65.9505668558832,27.22679733277121,0
36.679222243609104,41.68892301087119,0
69.22530214498377,30.66146636910639,1
68.14450167725768,22.920322328810908,1
48.922996701443275,24.545422366032064,1
47.892182972152156,50.057678295329836,0
29.3207200666858,36.316569551951666,0
47.71639918252351,37.467169673194235,1
42.39216381796394,42.99657137276267,0
58.74220878738646,35.44581794218478,0
70.00827148124529,36.892753896607516,0
69.49336700970076,40.32623929667614,0
34.66755418467966,28.976691641171673,0
63.793443115228484,40.154307156580764,0
63.524718178940894,27.44141692067938,1
38.311424344899315,29.57735664041556,0
41.01306358175758,32.39713795028991,0
49.62934150496319,40.314766158500944,0
59.28576388459478,42.17112274251522,0
40.99472769497087,29.924589351145073,0
75.68463080600566,31.257886562356067,1
48.19544831717258,28.15197700609927,1
61.89942802462847,29.942363653035258,1
55.71209107968577,32.204489622289124,0
51.25069007276236,33.21838042928863,1
44.52895065660687,21.454908051212904,1
70.93232077131117,30.141425522770177,1
56.79234304337012,34.83378618563033,0
61.95753866036946,36.98778257921489,0
63.25514404091607,13.24385174038198,1
51.467329121421216,26.50259129903625,1
52.01671307294043,45.256092163583084,0
43.943443447911385,34.748606103531856,1
45.42850960405251,34.2835404742844,0
63.2519041159643,33.578956935798175,0
50.3445408772079,43.49287994890186,0
50.558261220641086,37.37065574038539,1
69.52855166444519,14.530409002445975,0
79.3877802028938,27.08282657234029,1
55.35726991263099,32.243199333312305,0
76.77050359535227,44.49150432731509,1
57.37768570029108,27.612989489095952,1
50.187591889496304,43.171001115761065,0
39.28379431435821,30.480607259131173,0
51.878948869278986,28.14496788464976,1
45.0068037910125,38.47579860586264,1
58.05573544827017,43.16437328165516,0
47.394703104374656,40.878710262698995,1
45.62890249503287,39.706583843462646,0
53.42250734842029,21.290736534224607,1
48.723488320215615,28.484496014058028,0
43.68227735439928,34.96798234101419,0
40.76105507658403,46.572779102033266,0
58.955091965486965,30.95342938337247,1
63.990046681261425,37.63785293761211,1
41.75299230057866,40.35378294729842,0
64.04090920115064,30.06289270559998,1
42.42543375022292,29.50200906094273,0
79.40291894276773,28.714762542180168,1
40.99503899912935,28.02514288202459,0
50.13330041067845,36.050898177227864,0
64.15934636614875,38.169567901636796,0
65.55033438789403,33.80239430715185,1
43.83229195449275,41.511303264681935,0
72.10478380506916,22.177049751992126,1
58.26322593394492,37.552637663755135,0
46.58036524832473,34.21795973022441,0
65.29911059396593,23.665245079552964,1
58.08187545110618,38.345785245327875,0
68.55970255411735,21.255960542607298,1
61.029397573636615,25.161124043610116,1
67.63134026308022,33.13633842808793,0
63.243667953988414,29.319914756194844,1
81.68316738310124,30.46927375602197,1
49.111076377740865,33.94888939243754,1
74.54955732609129,23.984088963966755,1
65.95961752155652,22.853030124254122,1
45.79313267428471,19.50928235075943,1
49.29947984461892,51.390845449183075,0
69.06445590371271,30.767650530931288,1
44.24662936672581,31.55188015463405,0
54.46807454301131,42.69058179617223,0
53.03551217530349,32.731149907972856,0
79.46917062431392,36.410573781125464,1
66.96205465317068,23.515490609176965,1
58.727148287291215,35.40096257801973,0
66.97766319733212,23.538833345365337,1
52.66491465436426,34.817605566574144,1
40.26121028906879,33.73712359943427,0
40.165134557225734,29.585786794996107,1
78.55703500818312,29.044695501608025,1
79.1298408169755,38.407598184471354,1
54.77084626594643,27.134994633088606,1
32.920221663172605,43.0130393990776,0
65.769637904385,26.05010898334973,1
48.5989002130484,40.427697343220856,1
68.51983678222103,33.1077833003141,1
57.47904784464077,19.64952723374341,1
51.79792275559275,29.416769314092196,1
69.07144283074825,27.75478206418424,1
57.01022834019612,16.724932325475997,1
66.51316308541853,33.816568947833815,1
41.97867246372206,48.79435985543677,0
58.422405238690104,46.682468250765325,0
51.714694886772804,42.73521587390987,0
67.56370025194657,16.719267465068683,1
74.33793466526129,21.587960084339684,1
